Optimizer,Avg Test Acc,Avg Time (min),Efficiency (Acc/min)
RANDOM_SEARCH,98.67777777777776,15.425226814217037,6.3971686748118985
PSO,99.04444444444444,17.523424658510418,5.652116887799244
