Hyperparameter,Correlation,Abs Correlation
dropout,-0.8767789579323514,0.8767789579323514
learning_rate,0.5751671289789584,0.5751671289789584
weight_decay,-0.547054109708525,0.547054109708525
hidden_size,0.2956277628369416,0.2956277628369416
batch_size,0.25684947548200376,0.25684947548200376
num_layers,-0.17336111599520063,0.17336111599520063
