Optimizer,Test Acc Mean,Test Acc Std,Test Acc Min,Test Acc Max,Val Acc Mean,Val Acc Std,Time Mean (s),Time Std (s),N Runs
PSO,99.04444444444444,0.05665577237324994,98.96666666666667,99.1,98.92222222222222,0.1662958838566165,1051.4054795106251,176.46305743423656,3
RANDOM_SEARCH,98.67777777777776,0.06136311676215397,98.6,98.75,99.03888888888889,0.06136311676214796,925.5136088530222,87.97583137396948,3
